Index;Min(max. R-Score);<max. R-Score>;Std(max. R-Score);<(epoch of max R-Score>;Std(epoch of max R-Score);Min(max. R-Score (Val. set));<max. R-Score (Val. set)>;Std(max. R-Score (Val. set));<epoch of max R-Score (Val. set)>;Std(epoch of max R-Score (Val. set))
367.0;0.26976558566093445;0.2974691390991211;0.015870369970798492;51.2400016784668;21.882793426513672;0.23280571401119232;0.25964388251304626;0.013579139485955238;52.68000030517578;17.869247436523438
368.0;0.27847811579704285;0.3017386496067047;0.015422151423990726;48.7599983215332;20.624176025390625;0.23918361961841583;0.26343217492103577;0.011997701600193977;49.7599983215332;16.94668197631836
369.0;0.27478548884391785;0.30000200867652893;0.015427474863827229;50.08000183105469;14.80405330657959;0.241898775100708;0.262808620929718;0.01129205897450447;54.20000076293945;20.844663619995117
370.0;0.2719860374927521;0.29641589522361755;0.015952477231621742;57.79999923706055;23.966991424560547;0.23252031207084656;0.2586463987827301;0.01282756682485342;54.91999816894531;19.11787986755371
371.0;0.27844610810279846;0.30040812492370605;0.016039704903960228;54.2400016784668;17.97748565673828;0.23883871734142303;0.2618090808391571;0.012366781011223793;52.959999084472656;15.485154151916504
372.0;0.15781472623348236;0.1797667145729065;0.018747875466942787;32.20000076293945;15.195941925048828;0.10743451118469238;0.12963616847991943;0.014947518706321716;27.15999984741211;14.246870994567871
373.0;0.10606405884027481;0.14888529479503632;0.01687396876513958;33.720001220703125;12.634345054626465;0.06400159746408463;0.10179796069860458;0.014288627542555332;35.84000015258789;12.69737434387207
374.0;0.1218145489692688;0.1650915890932083;0.021442469209432602;34.400001525878906;14.657194137573242;0.06788793951272964;0.11448667198419571;0.01577678509056568;33.560001373291016;15.919275283813477
375.0;0.2106512188911438;0.25134241580963135;0.01757073774933815;97.95999908447266;13.249150276184082;0.17039954662322998;0.2044386863708496;0.014619988389313221;97.5199966430664;15.335470199584961
376.0;0.20989611744880676;0.24454860389232635;0.017569392919540405;109.95999908447266;18.731613159179688;0.16760046780109406;0.1983138918876648;0.015173844993114471;110.12000274658203;17.25137710571289
