Index;<epoch of min <Chi^2>>;Std(<epoch of min Chi^2>);<Chi^2(0%)>;<Chi^2(1%)>;<Chi^2(2%)>;<Chi^2(5%)>;<Chi^2(10%)>;<Chi^2(20%)>;<Chi_configs^2(0%)>;<Chi_configs^2(1%)>;<Chi_configs^2(2%)>;<Chi_configs^2(5%)>;<Chi_configs^2(10%)>;<Chi_configs^2(20%)>
26.0;31.040000915527344;45.921566009521484;171.0923614501953;78.67900085449219;57.94309997558594;43.968894958496094;36.71284103393555;35.784095764160156;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
27.0;74.63999938964844;66.99744415283203;171.50054931640625;79.0974349975586;55.713294982910156;43.4063720703125;36.06026077270508;35.338706970214844;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
28.0;71.95999908447266;49.99623489379883;89.04226684570312;48.687477111816406;37.759674072265625;29.316343307495117;26.61324691772461;22.218708038330078;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
29.0;91.68000030517578;41.47863006591797;82.99844360351562;38.40528869628906;32.620704650878906;28.598756790161133;23.019224166870117;21.845781326293945;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
30.0;78.0;44.05867385864258;92.67473602294922;39.66639709472656;34.62421798706055;30.002002716064453;26.645357131958008;25.033592224121094;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
31.0;138.27999877929688;31.49142837524414;100.34827423095703;55.77022933959961;43.676937103271484;34.91316604614258;29.851430892944336;25.838396072387695;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
32.0;103.63999938964844;64.69600677490234;126.48674774169922;54.873165130615234;45.43840026855469;35.599891662597656;28.565881729125977;26.287656784057617;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
33.0;121.4800033569336;54.5039176940918;110.80323028564453;51.21940612792969;46.3781623840332;35.3885383605957;29.718564987182617;26.120567321777344;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
34.0;76.08000183105469;52.418922424316406;89.32073211669922;40.817039489746094;34.731239318847656;28.888778686523438;26.260326385498047;21.022533416748047;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
35.0;105.31999969482422;47.96240997314453;100.54023742675781;44.79811096191406;35.64236068725586;29.42243194580078;26.962446212768555;21.098905563354492;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
36.0;84.76000213623047;47.36760711669922;87.13456726074219;41.87919616699219;37.413639068603516;28.838272094726562;25.73041343688965;21.615095138549805;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
37.0;133.16000366210938;40.150428771972656;94.63287353515625;48.383182525634766;40.22968673706055;31.219301223754883;28.338773727416992;23.735950469970703;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
38.0;111.08000183105469;54.776756286621094;117.01263427734375;51.212833404541016;42.104549407958984;32.432167053222656;28.142101287841797;24.857637405395508;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
39.0;120.83999633789062;53.380455017089844;95.4777603149414;47.77751922607422;41.30955505371094;32.22652053833008;28.017894744873047;24.5565242767334;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
40.0;122.0;53.46260452270508;93.97872161865234;47.74049758911133;40.759239196777344;31.812965393066406;28.200883865356445;24.395973205566406;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
41.0;109.5999984741211;54.995452880859375;116.5704574584961;51.355995178222656;42.429508209228516;32.47120666503906;28.215333938598633;25.242107391357422;36.593074798583984;37.41465759277344;35.508541107177734;40.23234176635742;36.90683364868164;37.16703796386719
