Index;Min(max. R-Score);Avrg(max. R-Score);Std(max. R-Score);Avrg(epoch of max R-Score);Std(epoch of max R-Score);Min(max. R-Score (Val. set));Avrg(max. R-Score (Val. set));Std(max. R-Score (Val. set));Avrg(epoch of max R-Score (Val. set));Std(epoch of max R-Score (Val. set))
1443.0;-0.0013272762298583984;0.0007056266185827553;0.0016286458121612668;76.025;42.828511651193416;-0.0013083219528198242;0.0015155419241636992;0.0017907406436279416;70.175;39.22642195621695
1444.0;-0.00245058536529541;-0.00027292073355056345;0.0018368649762123823;64.95;44.81354534238332;-0.0018491744995117188;0.0007647275924682617;0.001866488135419786;73.175;50.42632986436494
1445.0;-0.008482217788696289;-0.005043342709541321;0.002384661929681897;82.4;41.722403746176646;-0.010481119155883789;-0.005092232022434473;0.002504264237359166;91.775;32.24623810299229
1446.0;-0.0039021968841552734;-0.0003005519392900169;0.0019913960713893175;89.575;42.91129042750691;-0.002469301223754883;0.00010597705841064453;0.002002148423343897;88.3;43.52199561789536
1447.0;NaN;NaN;NaN;15.9;45.269449708639904;NaN;NaN;NaN;15.9;45.269449708639904
1448.0;NaN;NaN;NaN;24.425;50.37036547364648;NaN;NaN;NaN;21.325;49.362805212645064
1449.0;NaN;NaN;NaN;1.0;0.0;NaN;NaN;NaN;1.0;0.0
1450.0;-2.667983493676936e25;-1.933269853347415e25;Inf;1.0;0.0;-2.9572494239240855e25;-2.2286000354166463e25;Inf;1.0;0.0
1451.0;-2.667983493676936e25;-1.933269853347415e25;Inf;1.0;0.0;-2.9572494239240855e25;-2.2286000354166463e25;Inf;1.0;0.0
1452.0;-2.667983493676936e25;-1.933269853347415e25;Inf;1.0;0.0;-2.9572494239240855e25;-2.2286000354166463e25;Inf;1.0;0.0
1453.0;-2.667983493676936e25;-1.933269853347415e25;Inf;1.0;0.0;-2.9572494239240855e25;-2.2286000354166463e25;Inf;1.0;0.0
